"the","to","and","a","of","i","in","it","that","for","yourself","wouldn't","himself","above","aren't","cannot","themselves","itself","further","below","will","said","just","one","like","can","get","time","new","now"
0.046737743147744,0.0267117837531218,0.0236943488091768,0.0238607804363069,0.0200564882729715,0.0174428223652593,0.0164521110226977,0.0112789433462802,0.0110731196180542,0.0108131317508213,0.000162492417020539,0.000157568404383553,0.000168401232184922,0.000159538009438347,0.000137872353835609,0.00013393314372602,0.000134917946253417,0.000100449857794515,0.000108328278013693,8.56778198835569e-05,0.00306864467536969,0.00293668113669847,0.00289827383812998,0.00298099725043134,0.00273479661858204,0.00241670540223274,0.00217247437543824,0.00221777529169851,0.00180514303271908,0.00179431020491771
0.0468122722877209,0.0270676030749094,0.0238002676382391,0.0239204118112467,0.0195766627269797,0.0176602166502242,0.016247790030964,0.0112232239663206,0.0112456899498911,0.0107094366898815,0.000166052922043037,0.000143586938472508,0.000126981646268205,0.000126981646268205,0.000140656592789396,0.000141633374683767,0.000136749465211913,0.000111353135958272,0.000111353135958272,0.00012112095490198,0.00318723932133194,0.00300360432519023,0.00297234730457036,0.00285806382292898,0.00264414858806177,0.00238920851363099,0.00220557351748928,0.00215575764087637,0.00197602977231214,0.0017230432616701
0.047129640747382,0.0271997189726227,0.0239468667729781,0.0235608510604516,0.0196619931311034,0.0176058888731219,0.0160856419024521,0.0114742922466412,0.0110694222962279,0.0108263018603179,0.000177626767460761,0.000147856918165661,0.000145872261545988,0.000150833903095171,9.32788611246454e-05,0.000114117755631215,0.000152818559714845,0.000100225159293502,0.000107171457462359,9.52635177443187e-05,0.00314369608556252,0.00306034050753624,0.00305537886598705,0.002988892869228,0.00267035548177043,0.00236868767558009,0.00228334744093414,0.00217617598347178,0.00188244680376013,0.00178916794263549
0.0469118432283486,0.0269051785623809,0.0235553069838684,0.0238417706965161,0.0198575866114266,0.017668185379048,0.01621345638931,0.0111379819703247,0.0110921867509559,0.0108359283957642,0.000155898619127981,0.000135436925367434,0.000157847351867081,0.000148103688171582,0.000146154955432482,0.000130565093519684,0.000118872697085086,9.25648051072388e-05,9.8411003324538e-05,9.74366369549882e-05,0.00303709997388698,0.00307412589592988,0.00311894674892917,0.00293381713871469,0.00264832779243658,0.00237550520896261,0.00224786321455158,0.00220693982703048,0.00196237386827346,0.00176068002977664
0.0470683594769504,0.0271590274515366,0.0235878556521722,0.0238271812857203,0.0197655396694549,0.0177672198732854,0.0161490634291719,0.0114285376612863,0.0109656444605965,0.0107302583436499,0.000164474818117443,0.000156595784914212,0.000127049410402097,0.000135913322755731,0.000114245981446847,0.000130988927003712,0.000135913322755731,0.000102427431642,0.00010735182739402,0.000114245981446847,0.00308956589481688,0.00298713846317488,0.00299797213382932,0.00291327252689459,0.00270841766361059,0.0024818954590177,0.00229378354129057,0.00214605166872999,0.0018939226062266,0.00184861816530803
0.0467289535914578,0.0272251391234095,0.0235708767674226,0.0237448424578502,0.0197220087238388,0.0174771633174176,0.0161630834976343,0.011284181309598,0.0112045698919447,0.0107622842383153,0.000155291407274321,0.000159222835306583,0.000139565695145276,0.00010713141387912,0.000132685696088819,0.000111062841911382,0.000115977126951708,0.000127771411048492,0.000111062841911382,0.000101234271830728,0.00303211386988153,0.00302621672783313,0.00298690244751052,0.00305668529508316,0.00272939391139741,0.00245812537717138,0.00217309684483243,0.00217211398782437,0.00191362259470319,0.00176914261451758
0.0468353561694869,0.0270141761926237,0.0239279621968197,0.0235299307856709,0.0195976549479422,0.0174712260543911,0.0163261504676379,0.0110144899119625,0.01087429658242,0.011018411403698,0.000172545636360071,0.000172545636360071,0.000135291464873238,0.000137252210740966,0.000122546616733005,0.000145095194211878,0.000121566243799141,0.000117644752063685,0.000111762514460501,0.000118625124997549,0.00314503637183585,0.0029773926001451,0.00289602164663438,0.00290386463010529,0.00274504421481932,0.00234113056606733,0.00234309131193506,0.00225387737495343,0.00202447010842925,0.00177643575616164
0.0467013832924529,0.0270660739247272,0.0237624265299883,0.0236969787548707,0.0198756101539781,0.0178252388111167,0.0162261640668271,0.0113449322420161,0.011173986560739,0.0107529717685649,0.000161177356632741,0.000154339529381655,0.00013675654502172,0.000128941885306193,0.000126988220377311,0.000122104058055107,0.000138710209950602,0.00010256740876629,9.18222516574405e-05,9.57295815152039e-05,0.00308386009023978,0.00304087946180439,0.00299985249829787,0.00295589503739803,0.00267749778503239,0.00239617003527342,0.00224183050589176,0.00216173024380761,0.00191068430044631,0.00179834856703562
0.046898592204495,0.0270560082630618,0.0235956540079398,0.0236321202874726,0.0197292428023449,0.0177975155622312,0.0164167248155989,0.011488849203064,0.0111744507389842,0.0108955329793147,0.000156706444478611,0.000164591045458667,0.00014389396788602,0.000130095916170922,0.000144879543008527,0.000136009366905964,0.000131081491293429,0.000121225740068359,0.000107427688353262,0.000116297864455825,0.00303852810268904,0.00299319164705372,0.00294884076654091,0.00295475421727595,0.00265513938003383,0.00237326489499683,0.00218797677196551,0.0022421834037034,0.00195636661817637,0.00180853034980032
0.0468568496863626,0.0271499651513978,0.0234831177882754,0.0237444823046542,0.0196652598156896,0.01761016030357,0.0161048942925734,0.0113896848137536,0.0111302563308294,0.0106694803686208,0.000153914659645319,0.000158754743281964,0.000143266475644699,0.000141330442190041,0.00011228994037017,0.000128746224734763,0.000123906141098118,0.000107449856733524,0.00011228994037017,0.000106481840006195,0.00304538062417719,0.00296406721908155,0.00303279640672191,0.00297761945326415,0.0027191589870673,0.00247909083868969,0.00224095872376675,0.00216545341903508,0.00191086501974754,0.00181987144737861
